,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
389,Journal of Theoretical Biology,29663,00225193,10958541,Journal,1.0,10958541,Full-text available to present,"{'Elsevier SD Freedom Collection': 'Available from 1993 volume: 160 issue: 1.', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 160 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 160 issue: 1.'}","['1993 - present', '1993 - present', '1993 - present']"
390,Acta Ethologica,24090,08739749,,Journal,1.0,08739749,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1999 volume: 2 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 1999.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1999 volume: 2 issue: 1.', 'SciTech Premium Collection': 'Available from 2001 until 2018.'}","['1999 - present', '1999 - 1 year ago', '1999 - present', '2001 - 2018']"
391,Animal Cognition,29520,14359448,,Journal,1.0,14359448,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1998 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.'}","['1998 - present', '1998 - present']"
392,Journal of Crustacean Biology,22543,02780372,,Journal,1.0,02780372,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 1981 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1 until 2012 volume: 32 issue: 5.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 16 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2012.'}","['1981 - 6 year ago', '1981 - 2012', '1996 - present', '2000 - 2012']"
393,Journal of the Canadian Society of Forensic Science,12426,00085030,,Journal,1.0,00085030,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 30 issue: 1.', 'Scholars Portal': 'Available from 2012 volume: 45 issue: 2.'}","['1997 - present', '2012 - present']"
395,Brain Research Reviews,14351,01650173,,Journal,1.0,01650173,"Full-text available, but not complete","{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 20 issue: 1 until 2011 volume: 67 issue: 2.', 'Scholars Portal': 'Available from 1979 volume: 1 issue: 1 until 2011 volume: 67 issue: 1.'}","['1995 - 2011', '1979 - 2011']"
396,Plant Pathology,16614,00320862,13653059,Journal,1.0,13653059,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1952 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1952 volume: 1 issue: 1.'}","['1952 - present', '1952 - present']"
397,Marine Environmental Research,24021,01411136,,Journal,1.0,01411136,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 39 issue: 1.', 'Scholars Portal': 'Available from 1978 volume: 1 issue: 1.'}","['1995 - present', '1978 - present']"
399,Antarctic Science,13040,09541020,13652079,Journal,1.0,13652079,Full-text available to present,"{'CRKN Cambridge University Press Journals': 'Available from 1989 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1997 volume: 9 issue: 1.', 'SciTech Premium Collection': 'Available from 2001.Most recent 1 year(s) not available.'}","['1989 - present', '1997 - present', '2001 - 1 year ago']"
400,ISME Journal,5800173382,17517362,17517370,Journal,1.0,17517370,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 2007 until 2015.', 'PubMed Central': 'Available from 2011 volume: 5.Most recent 1 year(s) not available.', 'SciTech Premium Collection': 'Available from 2007.Most recent 1 year(s) not available.'}","['2007 - 2015', '2011 - 1 year ago', '2007 - 1 year ago']"
401,Journal of Herpetology,22562,00221511,,Journal,1.0,00221511,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2010.', 'JSTOR Life Sciences Collection': 'Available from 1968 volume: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1968 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1998 until 2004.', 'BioOne Complete': 'Available from 2002.'}","['2010 - present', '1968 - 4 year ago', '1968 - present', '1998 - 2004', '2002 - present']"
402,Current Opinion in Neurobiology,14992,09594388,18736882,Journal,1.0,18736882,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 5 issue: 1.', 'Scholars Portal': 'Available from 1991 volume: 1 issue: 1.'}","['1995 - present', '1991 - present']"
403,Zebrafish,130177,15458547,,Journal,1.0,15458547,"Full-text available, but not complete",{'Gale Cengage Academic OneFile': 'Available from 2007 until 2011.'},['2007 - 2011']
404,Oncotarget,19900191708,,19492553,Journal,1.0,19492553,Full-text available to present,"{'Free E- Journals': 'Available from 2010 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2010 volume: 1.'}","['2010 - present', '2010 - present']"
405,Molecular Neurobiology,14160,08937648,15591182,Journal,1.0,15591182,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 14 issue: 1.', 'Humana Press Journals': 'Available from 2000 volume: 21 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1987 volume: 1 until 1996 volume: 13.', 'Scholars Portal': 'Available from 1987 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2000 - present', '1987 - 1996', '1987 - present', '1997 - 1 year ago']"
406,Ecology of Freshwater Fish,21449,09066691,16000633,Journal,1.0,16000633,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1992 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1992 volume: 1 issue: 1.'}","['1992 - present', '1992 - present']"
407,Arctic,19348,00040843,19231245,Journal,1.0,19231245,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'Free E- Journals': 'Available from 1948 volume: 1.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 1996.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 1996.Most recent 1 year(s) not available.', 'JSTOR Arts and Sciences IX': 'Available from 1948 volume: 1 issue: 1.Most recent 2 year(s) not available.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 1993.Most recent 1 year(s) not available.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 1993.Most recent 1 year(s) not available.', 'SciTech Premium Collection': 'Available from 1993.Most recent 1 year(s) not available.'}","['2003 - 1 year ago', '1948 - 1 year ago', '1996 - 1 year ago', '1996 - 1 year ago', '1948 - 2 year ago', '1993 - 1 year ago', '1993 - 1 year ago', '1993 - 1 year ago']"
409,Limnology and Oceanography: Methods,4400151737,,15415856,Journal,1.0,15415856,Full-text available to present,{'CRKN Wiley Online Library': 'Available from 2003 volume: 1 issue: 1.'},['2003 - present']
410,Clinical and Experimental Metastasis,29256,02620898,15737276,Journal,1.0,15737276,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 15 issue: 1.', 'SpringerLink Historical Archives Medicine': 'Available from 1983 volume: 1 until 1996 volume: 14.', 'Scholars Portal': 'Available from 1983 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1999.Most recent 1 year(s) not available.'}","['1997 - present', '1983 - 1996', '1983 - present', '1999 - 1 year ago']"
411,Fisheries Management and Ecology,12762,0969997X,13652400,Journal,1.0,13652400,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1994 volume: 1 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 1998.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1994 volume: 1 issue: 1.'}","['1994 - present', '1998 - 1 year ago', '1994 - present']"
412,Bulletin of Insectology,19700173110,17218861,,Journal,1.0,17218861,Full-text available to present,{'Free E- Journals': 'Available from 1989 volume: 44.'},['1989 - present']
413,Nature Methods,21100778827,15487091,15491676,Journal,1.0,15491676,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2004.', 'EBSCOhost Academic Search Complete': 'Available from 2004.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'PubMed Central': 'Available from 2004 volume: 1.'}","['2004 - present', '2004 - present', '2006 - present', '2004 - present']"
414,Cell Stem Cell,6100153018,19345909,18759777,Journal,1.0,18759777,Full-text available to present,"{'Scholars Portal': 'Available from 2007 volume: 1 issue: 1.', 'Elsevier SD Cell Press': 'Available from 2007 volume: 1 issue: 1 until 2018 volume: 22 issue: 3.'}","['2007 - present', '2007 - 2018']"
415,Journal of Chemical Ecology,23342,00980331,15731561,Journal,1.0,15731561,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 23 issue: 1.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1975 volume: 1 until 1996 volume: 22.', 'Scholars Portal': 'Available from 1975 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1975 - 1996', '1975 - present', '1997 - 1 year ago']"
416,Aquatic Invasions,20000195048,17986540,,Journal,1.0,17986540,Full-text available to present,{'DOAJ Directory of Open Access Journals': 'Available from 2006.'},['2006 - present']
417,Journal of Chemical Technology and Biotechnology,16083,02682575,10974660,Journal,1.0,10974660,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 65 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 62 issue: 1.'}","['1996 - present', '1995 - present']"
418,Ambio,22704,00447447,,Journal,1.0,00447447,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 1972 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'ABI/INFORM Collection': 'Available from 2005.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 2005.Most recent 1 year(s) not available.', 'PubMed Central': 'Available from 2010 volume: 39.Most recent 1 year(s) not available.', 'Sociology Collection': 'Available from 2005.Most recent 1 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1972 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1972 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2005.Most recent 1 year(s) not available.', 'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2010 volume: 39 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2011.'}","['1972 - 4 year ago', '2005 - 1 year ago', '2005 - 1 year ago', '2010 - 1 year ago', '2005 - 1 year ago', '1972 - 4 year ago', '1972 - present', '2005 - 1 year ago', '2010 - present', '2000 - 2011']"
420,Iranian Journal of Fisheries Sciences,19900193543,15622916,,Journal,1.0,15622916,No full-text available,{},[]
421,Journal of Proteomics,11700154304,18743919,18767737,Journal,1.0,18767737,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2008 volume: 71 issue: 1.', 'Scholars Portal': 'Available from 2008 volume: 71 issue: 1.'}","['2008 - present', '2008 - present']"
424,Geobiology,4000148310,14724677,14724669,Journal,1.0,14724669,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2003 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2003 volume: 1 issue: 1.'}","['2003 - present', '2003 - present']"
425,Journal of Limnology,29608,11295767,,Journal,1.0,11295767,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 1999.', 'Free E- Journals': 'Available from 1999 volume: 58 issue: 1.'}","['1999 - present', '1999 - present']"
